Fabio;79456598;98765432105;Biologia;001;
Carlos;98746515;12036598705;Biologia;002;
Ana;65321789;78912305615;Biologia;003;
Bruna;78026478;14612378950;Biologia;004;
Joao;87456515;14684593152;Biologia;005;
Pedro;65174595;98765234850;Biologia;006;
Lucio;52467898;56034504495;Biologia;007;
Marcello;78986425;97634598760;Biologia;008;
Marcella;78986489;97634578760;Biologia;009;
Flavio;74486425;97677598760;Biologia;010;
Fabio;79456598;98765432105;Matematica;011;
Carlos;98746515;12036598705;Matematica;012;
Ana;65321789;78912305615;Matematica;013;
Bruna;78026478;14612378950;Matematica;014;
Joao;87456515;14684593152;Matematica;015;
Pedro;65174595;98765234850;Matematica;016;
Lucio;52467898;56034504495;Matematica;017;
Marcello;78986425;97634598760;Matematica;018;
Marcella;78986489;97634578760;Matematica;019;
Flavio;74486425;97677598760;Matematica;020;
Gaus;73386425;1117759876;Geografia;021;
Taus;73344425;22177598760;Geografia;022;
Maus;73398425;11155598760;Geografia;023;
Raus;73386425;11177598760;Geografia;024;
Laus;73386425;11177598760;Geografia;025;
Caio;78594625;98712345602;Quimica;026;
Haio;328594625;68712345602;Quimica;027;
Falio;98594625;68712345602;Quimica;028;
Maio;68594625;08712345602;Quimica;029;
Raio;78594625;65712345602;Quimica;030;
Leticia;98659865;65234696056;Portugues;031;
Leti;98779865;65294696056;Redacao;032;
Caio;78594625;98712345602;Educacao Fisica;033;
Haio;328594625;68712345602;Educacao Fisica;034;
Falio;98594625;68712345602;Educacao Fisica;035;
Maio;68594625;08712345602;Educacao Fisica;036;
Raio;78594625;65712345602;Educacao Fisica;037;
Fabio;79456598;98765432105;Fisica;038;
Carlos;98746515;12036598705;Fisica;039;
Ana;65321789;78912305615;Fisica;040;
Bruna;78026478;14612378950;Fisica;041;
Joao;87456515;14684593152;Fisica;042;
Thales;12345678;319727263;Civil;011;
